date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:47:57	4402/4402	---MCZ	200	added ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:59:30%20GMT	https://landing.engotheme.com/html/lotus/demo/comingsoon.html	C:/Users/ADMIN/Desktop/Giaodien/test/landing.engotheme.com/html/lotus/demo/comingsoon.html	(from https://landing.engotheme.com/html/lotus/demo/index.html)
16:47:58	32291/32291	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2019:52:48%20GMT	https://landing.engotheme.com/html/lotus/demo/gallery.html	C:/Users/ADMIN/Desktop/Giaodien/test/landing.engotheme.com/html/lotus/demo/gallery.html	(from https://landing.engotheme.com/html/lotus/demo/index.html)
16:47:58	34483/34483	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2019:51:04%20GMT	https://landing.engotheme.com/html/lotus/demo/gallery-2.html	C:/Users/ADMIN/Desktop/Giaodien/test/landing.engotheme.com/html/lotus/demo/gallery-2.html	(from https://landing.engotheme.com/html/lotus/demo/index.html)
16:48:00	31456/31456	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2019:51:44%20GMT	https://landing.engotheme.com/html/lotus/demo/gallery-3.html	C:/Users/ADMIN/Desktop/Giaodien/test/landing.engotheme.com/html/lotus/demo/gallery-3.html	(from https://landing.engotheme.com/html/lotus/demo/index.html)
16:48:01	50326/50326	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2019:49:46%20GMT	https://landing.engotheme.com/html/lotus/demo/blog.html	C:/Users/ADMIN/Desktop/Giaodien/test/landing.engotheme.com/html/lotus/demo/blog.html	(from https://landing.engotheme.com/html/lotus/demo/index.html)
16:48:01	49463/49463	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2019:49:38%20GMT	https://landing.engotheme.com/html/lotus/demo/blog-detail.html	C:/Users/ADMIN/Desktop/Giaodien/test/landing.engotheme.com/html/lotus/demo/blog-detail.html	(from https://landing.engotheme.com/html/lotus/demo/index.html)
16:48:02	33702/33702	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2019:49:28%20GMT	https://landing.engotheme.com/html/lotus/demo/blog-detail-fullwidth.html	C:/Users/ADMIN/Desktop/Giaodien/test/landing.engotheme.com/html/lotus/demo/blog-detail-fullwidth.html	(from https://landing.engotheme.com/html/lotus/demo/index.html)
16:48:02	24160/24160	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2021:58:08%20GMT	https://landing.engotheme.com/html/lotus/demo/contact.html	C:/Users/ADMIN/Desktop/Giaodien/test/landing.engotheme.com/html/lotus/demo/contact.html	(from https://landing.engotheme.com/html/lotus/demo/index.html)
16:48:03	4062/4062	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Aug%202016%2014:34:16%20GMT	https://landing.engotheme.com/html/lotus/demo/images/slider/hom1-slide1.png	C:/Users/ADMIN/Desktop/Giaodien/test/landing.engotheme.com/html/lotus/demo/images/slider/hom1-slide1.png	(from https://landing.engotheme.com/html/lotus/demo/index.html)
16:48:06	58099/58099	---M--	200	added ('OK')	image/png	date:Tue,%2005%20Apr%202016%2013:24:26%20GMT	https://landing.engotheme.com/html/lotus/demo/images/icon-slider-1.png	C:/Users/ADMIN/Desktop/Giaodien/test/landing.engotheme.com/html/lotus/demo/images/icon-slider-1.png	(from https://landing.engotheme.com/html/lotus/demo/index.html)
